P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2,P1_net,P2_net,C1_net_p1_to_p1,C1_net_p1_to_p2,C1_net_p2_to_p1,C1_net_p2_to_p2
0.909804988,0.028661876,0,0.061533135,1.59E-09,0,-0.002162306,0.001533554,0,0.000628754,-1.59E-09,0
0.909701696,0.028735132,0,0.06156317,1.51E-09,0,-0.0021651,0.00153154,0,0.000633562,-1.51E-09,0
0.909584545,0.028817785,0,0.061597669,1.44E-09,0,-0.002168184,0.001529229,0,0.000638956,-1.44E-09,0
0.909474105,0.028895572,0,0.061630322,1.36E-09,0,-0.002171057,0.001527045,0,0.000644013,-1.36E-09,0
0.908995394,0.029230298,0,0.061774307,1.10E-09,0,-0.002182966,0.001517447,0,0.00066552,-1.10E-09,0
0.908838844,0.029338915,0,0.06182224,1.02E-09,0,-0.002186671,0.001514263,0,0.000672409,-1.02E-09,0
0.909484151,0.028888505,0,0.061627343,1.37E-09,0,-0.002170798,0.001527244,0,0.000643555,-1.37E-09,0
0.907835189,0.030025702,0,0.062139108,6.45E-10,0,-0.002208273,0.001493361,0,0.000714913,-6.45E-10,0
0.907922072,0.029966888,0,0.06211104,6.71E-10,0,-0.002206547,0.001495202,0,0.000711346,-6.71E-10,0
0.907906897,0.029977169,0,0.062115934,6.66E-10,0,-0.002206851,0.001494881,0,0.000711971,-6.66E-10,0
0.907841518,0.030021422,0,0.06213706,6.47E-10,0,-0.002208149,0.001493495,0,0.000714654,-6.47E-10,0
0.90771487,0.030106956,0,0.062178173,6.10E-10,0,-0.002210619,0.001490801,0,0.000719819,-6.10E-10,0
0.90771487,0.030106956,0,0.062178173,6.10E-10,0,-0.002210619,0.001490801,0,0.000719819,-6.10E-10,0
0.907714869,0.030106956,0,0.062178174,6.11E-10,0,-0.002210619,0.001490801,0,0.000719819,-6.11E-10,0
0.907265838,0.030409775,0,0.062324387,4.87E-10,0,-0.002219184,0.001481255,0,0.00073793,-4.87E-10,0
0.90675392,0.030747934,0,0.062498145,4.04E-10,0,-0.002227546,0.001469979,0,0.000757567,-4.04E-10,0
0.906271128,0.031064888,0,0.062663983,3.15E-10,0,-0.002234887,0.001459287,0,0.000775601,-3.15E-10,0
0.904169596,0.032407007,0,0.063423397,1.60E-10,0,-0.002258254,0.001411184,0,0.00084707,-1.60E-10,0
0.903480701,0.032834573,0,0.063684726,7.07E-11,0,-0.002263073,0.001394954,0,0.000868119,-7.07E-11,0
0.906315095,0.031036167,0,0.062648738,3.34E-10,0,-0.002234251,0.001460267,0,0.000773984,-3.34E-10,0
0.899076889,0.035440105,0,0.065483008,-1.58E-09,0,-0.002264963,0.001287639,0,0.000977323,1.58E-09,0
0.899456016,0.035223777,0,0.065320208,-8.97E-10,0,-0.002266582,0.001297045,0,0.000969536,8.97E-10,0
0.899389756,0.035261686,0,0.065348559,-1.00E-09,0,-0.002266321,0.001295403,0,0.000970917,1.00E-09,0
0.899104487,0.035424405,0,0.06547111,-1.53E-09,0,-0.002265091,0.001288324,0,0.000976765,1.53E-09,0
0.898552961,0.035736853,0,0.065710189,-3.60E-09,0,-0.002262241,0.001274613,0,0.000987625,3.60E-09,0
0.898552923,0.035736842,0,0.065710238,-3.35E-09,0,-0.002262236,0.00127461,0,0.000987622,3.35E-09,0
0.907714869,0.030106956,0,0.062178174,6.11E-10,0,-0.002210619,0.001490801,0,0.000719819,-6.11E-10,0
0.907625063,0.03016752,0,0.062207417,5.87E-10,0,-0.002212347,0.001488888,0,0.00072346,-5.87E-10,0
0.90752331,0.030235856,0,0.062240833,5.61E-10,0,-0.002214249,0.001486704,0,0.000727546,-5.61E-10,0
0.907427416,0.030300172,0,0.062272412,5.37E-10,0,-0.002216018,0.001484642,0,0.000731376,-5.37E-10,0
0.907012327,0.030576963,0,0.06241071,4.45E-10,0,-0.00222331,0.001475644,0,0.000747666,-4.45E-10,0
0.906876775,0.030666795,0,0.06245643,4.19E-10,0,-0.002225564,0.001472679,0,0.000752885,-4.19E-10,0
0.907436137,0.030294328,0,0.062269534,5.39E-10,0,-0.002215858,0.00148483,0,0.000731029,-5.39E-10,0
0.906009826,0.031235028,0,0.062755146,2.84E-10,0,-0.00223854,0.001453438,0,0.000785102,-2.84E-10,0
0.90608474,0.031186349,0,0.062728911,2.94E-10,0,-0.002237515,0.001455119,0,0.000782397,-2.94E-10,0
0.906071654,0.031194858,0,0.062733488,2.92E-10,0,-0.002237696,0.001454826,0,0.00078287,-2.92E-10,0
0.906015282,0.031231486,0,0.062753232,2.85E-10,0,-0.002238466,0.001453561,0,0.000784906,-2.85E-10,0
0.905906121,0.031302287,0,0.062791592,2.71E-10,0,-0.002239929,0.001451105,0,0.000788824,-2.71E-10,0
0.905906121,0.031302287,0,0.062791592,2.71E-10,0,-0.002239929,0.001451105,0,0.000788824,-2.71E-10,0
0.905906121,0.031302287,0,0.062791592,2.71E-10,0,-0.002239929,0.001451105,0,0.000788824,-2.71E-10,0
0.905437729,0.031605727,0,0.062956543,2.15E-10,0,-0.002246028,0.001440589,0,0.000805439,-2.15E-10,0
0.904904965,0.031944,0,0.063151035,1.77E-10,0,-0.002251599,0.001428275,0,0.000823325,-1.77E-10,0
0.90440288,0.032260902,0,0.063336218,1.37E-10,0,-0.002256319,0.001416635,0,0.000839684,-1.37E-10,0
0.902224225,0.033599696,0,0.064176079,7.09E-11,0,-0.002268507,0.001364879,0,0.000903628,-7.09E-11,0
0.901512348,0.034025174,0,0.064462478,2.73E-11,0,-0.002269766,0.001347613,0,0.000922153,-2.73E-11,0
0.904448578,0.032232198,0,0.063319224,1.46E-10,0,-0.002255921,0.0014177,0,0.000838222,-1.46E-10,0
0.896986883,0.036607523,0,0.066405595,-8.59E-10,0,-0.00225065,0.001235463,0,0.001015187,8.59E-10,0
0.897374882,0.036393778,0,0.066231341,-4.87E-10,0,-0.002253944,0.001245172,0,0.001008772,4.87E-10,0
0.897307051,0.036431243,0,0.066261707,-5.45E-10,0,-0.002253389,0.001243475,0,0.001009914,5.45E-10,0
0.897015117,0.036592014,0,0.06639287,-8.29E-10,0,-0.002250899,0.001236169,0,0.001014729,8.29E-10,0
0.896451138,0.03690055,0,0.066648314,-1.95E-09,0,-0.002245657,0.001222051,0,0.001023604,1.95E-09,0
0.896451106,0.036900536,0,0.066648359,-1.82E-09,0,-0.002245652,0.001222049,0,0.001023601,1.82E-09,0
0.905906121,0.031302287,0,0.062791592,2.71E-10,0,-0.002239929,0.001451105,0,0.000788824,-2.71E-10,0
0.905812443,0.031362975,0,0.062824582,2.60E-10,0,-0.002241164,0.001448997,0,0.000792168,-2.60E-10,0
0.905706352,0.031431428,0,0.06286222,2.48E-10,0,-0.002242508,0.001446594,0,0.000795914,-2.48E-10,0
0.905606385,0.031495847,0,0.062897768,2.37E-10,0,-0.002243752,0.001444329,0,0.000799423,-2.37E-10,0
0.905173943,0.03177295,0,0.063053107,1.96E-10,0,-0.002248773,0.001434464,0,0.00081431,-1.96E-10,0
0.905032823,0.031862836,0,0.06310434,1.84E-10,0,-0.002250287,0.001431223,0,0.000819065,-1.84E-10,0
0.905615475,0.031489995,0,0.06289453,2.38E-10,0,-0.00224364,0.001444535,0,0.000799105,-2.38E-10,0
0.904131384,0.032430896,0,0.063437719,1.23E-10,0,-0.00225856,0.00141029,0,0.00084827,-1.23E-10,0
0.904209203,0.032382267,0,0.06340853,1.28E-10,0,-0.002257939,0.001412112,0,0.000845827,-1.28E-10,0
0.904195608,0.032390768,0,0.063413624,1.27E-10,0,-0.002258049,0.001411794,0,0.000846255,-1.27E-10,0
0.904137052,0.032427357,0,0.063435591,1.24E-10,0,-0.002258515,0.001410423,0,0.000848092,-1.24E-10,0
0.904023683,0.032498075,0,0.063478242,1.17E-10,0,-0.002259389,0.001407764,0,0.000851626,-1.17E-10,0
0.904023683,0.032498075,0,0.063478242,1.17E-10,0,-0.002259389,0.001407764,0,0.000851626,-1.17E-10,0
0.904023683,0.032498075,0,0.063478242,1.18E-10,0,-0.002259389,0.001407764,0,0.000851626,-1.18E-10,0
0.903511477,0.032817216,0,0.063671307,9.09E-11,0,-0.002263152,0.001395783,0,0.000867369,-9.09E-11,0
0.902930107,0.033172077,0,0.063897816,7.45E-11,0,-0.002265964,0.00138184,0,0.000884123,-7.45E-11,0
0.902382651,0.03350424,0,0.064113109,5.58E-11,0,-0.002268052,0.001368701,0,0.000899351,-5.58E-11,0
0.90001465,0.034902394,0,0.065082955,3.15E-11,0,-0.002268392,0.001310863,0,0.00095753,-3.15E-11,0
0.899243552,0.035344993,0,0.065411455,6.15E-12,0,-0.002265682,0.001291766,0,0.000973916,-6.15E-12,0
0.902432452,0.033474172,0,0.064093376,6.12E-11,0,-0.002267896,0.001369901,0,0.000897995,-6.12E-11,0
0.894373666,0.038012484,0,0.067613851,-6.52E-10,0,-0.00222139,0.001169974,0,0.001051415,6.52E-10,0
0.894789056,0.03779291,0,0.067418034,-3.71E-10,0,-0.002226797,0.001180373,0,0.001046424,3.71E-10,0
0.894716408,0.037831413,0,0.06745218,-4.14E-10,0,-0.002225871,0.001178554,0,0.001047317,4.14E-10,0
0.89440388,0.03799656,0,0.067599561,-6.29E-10,0,-0.002221793,0.00117073,0,0.001051062,6.29E-10,0
0.893800729,0.038313166,0,0.067886107,-1.48E-09,0,-0.002213506,0.001155652,0,0.001057852,1.48E-09,0
0.893800699,0.038313147,0,0.067886156,-1.38E-09,0,-0.0022135,0.00115565,0,0.001057849,1.38E-09,0
0.904023683,0.032498075,0,0.063478242,1.18E-10,0,-0.002259389,0.001407764,0,0.000851626,-1.18E-10,0
0.903921242,0.032561903,0,0.063516855,1.12E-10,0,-0.002260159,0.001405361,0,0.000854798,-1.12E-10,0
0.903805276,0.032633861,0,0.063560863,1.07E-10,0,-0.002260971,0.001402626,0,0.000858345,-1.07E-10,0
0.903696019,0.032701567,0,0.063602413,1.02E-10,0,-0.002261711,0.001400048,0,0.000861663,-1.02E-10,0
0.903223681,0.032992599,0,0.06378372,8.25E-11,0,-0.002264529,0.001388848,0,0.000875681,-8.25E-11,0
0.903069642,0.033086931,0,0.063843427,7.71E-11,0,-0.002265316,0.001385177,0,0.000880139,-7.71E-11,0
0.903705953,0.032695417,0,0.063598629,1.02E-10,0,-0.002261645,0.001400283,0,0.000861362,-1.02E-10,0
0.902086878,0.033682234,0,0.064230888,4.99E-11,0,-0.00226885,0.00136156,0,0.00090729,-4.99E-11,0
0.902171635,0.03363133,0,0.064197035,5.19E-11,0,-0.002268645,0.001363609,0,0.000905036,-5.19E-11,0
0.902156827,0.033640229,0,0.064202944,5.15E-11,0,-0.002268682,0.001363251,0,0.000905431,-5.15E-11,0
0.90209305,0.03367853,0,0.06422842,5.01E-11,0,-0.002268836,0.001361709,0,0.000907127,-5.01E-11,0
0.901969599,0.033752537,0,0.064277864,4.74E-11,0,-0.002269104,0.001358721,0,0.000910384,-4.74E-11,0
0.901969599,0.033752537,0,0.064277864,4.74E-11,0,-0.002269104,0.001358721,0,0.000910384,-4.74E-11,0
0.901969599,0.033752536,0,0.064277864,4.75E-11,0,-0.002269104,0.001358721,0,0.000910384,-4.75E-11,0
0.901400882,0.03409308,0,0.064506039,3.56E-11,0,-0.002270138,0.001345003,0,0.000925135,-3.56E-11,0
0.900756932,0.034470511,0,0.064772557,2.89E-11,0,-0.002269721,0.001329135,0,0.000940585,-2.89E-11,0
0.900151111,0.034823431,0,0.065025458,2.06E-11,0,-0.002268732,0.001314231,0,0.000954502,-2.06E-11,0
